skeleton,accounts,creation_span_days,handles
patrick#,11,2483,"Patrick15875521, patrick16573095, Patrick31653488, Patrick45436577, Patrick62397800, Patrick90605563, patrick13892874, patrick35894089"
michael#,11,3241,"Michael39217557, michael98166844, Michael27840229, michael88778428, Michael04445624, MICHAEL17953694, MICHAEL838888, Michael17278956"
joseph#,10,2514,"Joseph29237201, Joseph51344660, Joseph07162204, Joseph175195741, Joseph31273622, Joseph40192225, Joseph37837223, Joseph22202886"
john#,10,2836,"john10574075, John37064538, John83185785155, john86464203, JOHN41337312, John2541085, John32726657, John62437608"
anthony#,10,3111,"Anthony10499896, anthony81447078, anthony08544175, Anthony21296685, anthony2036860, Anthony92773740, Anthony83177462, Anthony63797646"
stephen#,9,1910,"Stephen74989079, Stephen21834274, Stephen85929320, stephen18216215, Stephen54173966, Stephen94858611, Stephen37648001, Stephen16830676"
charles#,9,4129,"Charles93848930, Charles20132958, Charles25444631, charles21212121, charles395, CHARLES04200606, Charles67439665, Charles78583657"
emmanue#,9,4682,"Emmanue48226801, Emmanue60823132, emmanue69705977, Emmanue88623547, Emmanue00638355, emmanue43802982, Emmanue09482838, Emmanue12343635"
brian#,8,2227,"brian08239771, Brian49330447, Brian49001906, Brian19650481, Brian370776914, Brian80731791, Brian4893555414, brian33312056"
vincent#,8,2303,"Vincent49130810, Vincent61211772, Vincent52072637, VINCENT29139136, VINCENT47445953, vincent91240381, Vincent60248855, Vincent15746845"
peterm#,7,886,"PeterM98038, PeterM88933, PeterM49690, PeterM53482, PeterM42817, PeterM78780, PeterM68635"
collins#,7,1887,"collins9397, Collins071188, Collins37529037, Collins19769230, Collins00000676, Collins10296054, Collins26057910"
nichola#,7,2658,"Nichola49136897, Nichola77494811, Nichola73354505, nichola77778087, Nichola94795295, nichola64285631, Nichola43029496"
francis#,7,3305,"Francis31975231, Francis10062480, Francis86648525, francis39379920, Francis71694410, Francis51989463, Francis93889640"
victor#,6,1897,"Victor35167777, Victor01699371, Victor136167533, victor18201074, victor110799397, Victor159085794"
josephm#,6,2273,"JosephM58778559, JosephM57666705, JosephM18666264, josephm30748064, JosephM35150070, JosephM50826154"
david#,6,2978,"David343173, David57466180, David16784629, David97357107, David52110393, david4613287895"
joe#,6,6400,"Joe67248049, Joe990960471, Joe585258613669, joe08115, joe03454186, joe0603"
anthonym#,5,463,"AnthonyM6852, AnthonyM79099, AnthonyM82881, AnthonyM83278, AnthonyM72053"
samuelm#,5,554,"SamuelM96743986, SamuelM40371050, SamuelM50031361, SamuelM36510995, SAMUELM80855461"
petermu#,5,987,"Petermu59351441, PeterMu36471206, PETERMU57667655, PeterMu39908956, PeterMu07441449"
mike#,5,1391,"Mike69528384, Mike02628488, mike65395, Mike78642, Mike142508"
kelvinm#,5,1648,"Kelvinm74074172, KELVINM50887431, KelvinM13736953, kelvinm21385164, kelvinm76467603"
kennedy#,5,1756,"Kennedy07092489, Kennedy61463904, kennedy88884, Kennedy34221063, Kennedy23093395"
timothy#,5,2468,"timothy59206159, Timothy98537991, Timothy25722760, Timothy57746550, Timothy10264290"
dennis#,5,2637,"dennis006320193, Dennis93685433, Dennis25527331, Dennis89455031, Dennis51113072"
kibet#,5,3389,"Kibet1515, kibet1144, Kibet57704711, kibet025, Kibet99"
mwangi#,5,4520,"mwangi18155, Mwangi1431690, mwangi1444046, mwangi76769, mwangi1724"
richard#,4,334,"Richard84382185, Richard07369113, Richard72491023, Richard82821769"
eric#,4,354,"eric40069114260, Eric07487764186, eric16542162400, Eric85641622479"
peter#,4,876,"Peter72670716, Peter50718375, Peter07837533, Peter29927133"
geoffre#,4,1381,"Geoffre49291878, Geoffre15738435, Geoffre81480672, Geoffre48570650"
victoro#,4,1470,"Victoro42462368, Victoro57095751, VictorO71744460, VICTORO06172141"
koech#,4,1925,"koech235, koech7357, koech0900, Koech4445"
stanley#,4,2125,"Stanley10092140, stanley82193282, Stanley15051909, Stanley48507057"
josephk#,4,2404,"josephK456, JosephK30227955, JosephK17131881, Josephk24760041"
jackson#,4,2716,"Jackson47231182, JACKSON54638770, Jackson45794937, Jackson03793411"
maurice#,4,2992,"Maurice1881380, maurice85401107, Maurice82109622, Maurice99156471"
simonma#,4,3227,"simonma90902058, SimonMa69758139, simonma82289930, SimonMa20904749"
njoroge#,4,3231,"njoroge1227, Njoroge09935663, NJOROGE0001, njoroge86"
felix#,4,3700,"Felix551180214, Felix13768492, felix25896810, Felix13763544"
julius#,4,4146,"julius14608, JULIUS10506, Julius98089338, julius24111975"
daniel#,4,4476,"daniel87513968, Daniel057967503, Daniel23501037, Daniel36893960"
kelvink#,4,5260,"KelvinK17235, KelvinK03492702, kelvinK6, KelvinK09338840"
mungai#,4,6150,"mungai77, mungai21, mungai003, mungai19342"
istanbulw#,3,0,"istanbulw34, istanbulw33, istanbulw32"
brianwa#,3,310,"BrianWa61889878, BRIANWA11189997, BrianWa81344161"
brianki#,3,319,"BrianKi07347570, Brianki12346299, Brianki06445254"
stepheno#,3,358,"StephenO58658, StephenO79923, StephenO46090"
ngetich#,3,376,"ngetich2017, Ngetich53846612, Ngetich017"
josphat#,3,450,"Josphat21513186, Josphat30589324, Josphat1415644"
mwangi_#,3,509,"mwangi_23, Mwangi_420, mwangi_020"
ian#,3,723,"ian846600, ian064630, ian64098"
georgeo#,3,732,"GeorgeO58272140, GEORGEO07994752, Georgeo55141408"
kenneth#,3,765,"Kenneth55377705, Kenneth37495070, Kenneth52515395"
edwin#,3,1031,"edwin85396994, Edwin43855216, edwin79649"
pradeep#,3,1102,"pradeep01345935, Pradeep48442854, Pradeep54416893"
dominic#,3,1148,"dominic41569343, Dominic04542730, Dominic80088622"
jay#,3,1182,"Jay170192, Jay05568229, jay32094"
iano_#,3,1300,"iano_72, iano_18, iano_256"
sam#,3,1355,"SAM59276003, SAM96935343, sam00349301565"
raphael#,3,1463,"Raphael332074, Raphael53494775, Raphael05249180"
raymond#,3,1474,"Raymond1229126, Raymond102098, RayMond05229572"
derick#,3,1618,"Derick280428563, Derick02257449, Derick431496"
saba#,3,1748,"saba5162, Saba98659512150, saba9361"
mkenya#,3,1749,"Mkenya5050, Mkenya005, Mkenya248"
tony#,3,1784,"Tony72836608, Tony45335024, Tony99252492"
martinm#,3,1903,"MartinM29628583, MartinM37213831, MartinM05306879"
bonface#,3,1978,"BONFACE70127657, Bonface829802, Bonface50862920"
gemini#,3,2195,"Gemini7925, Gemini0194, GEMINi47636789"
erick#,3,2203,"EricK1647972, Erick62405252, Erick37885725"
christo#,3,2464,"christo86595362, christo35384237, Christo42796446"
wangui#,3,2882,"Wangui49486106, wangui37, Wangui61"
mutinda#,3,2902,"Mutinda99, mutinda428840, Mutinda001"
prince#,3,2982,"Prince13501878, Prince75172399, prince1221042"
omwami#,3,3579,"Omwami886443674, Omwami001, Omwami006"
jason#,3,4275,"jason0874, Jason0850632788, Jason45610"
sal#,3,4307,"sal94409123, sal12218, sal25469"
iano#,3,4623,"iano504, Iano316, Iano79400289506"
brayo_#,3,4651,"brayo_001, Brayo_57, brayo_125"
maina#,3,4790,"Maina790, maina036, maina328"
mwas#,3,5049,"Mwas2007, mwas254197194, mwas7669"
patriot#,3,5321,"patriot1987980, Patriot1748, patriot39946258"
