tag,authors_dated,recent_share,recent_z,max_90d_creation_share,digit_tail_share
beawaretimeisover,61,0.115,2.93,0.098,0.262
tumekataaharakatizavurugu,98,0.082,2.06,0.082,0.041
aibukwawanaharakati,80,0.075,1.56,0.075,0.062
sifuna4president,52,0.077,1.33,0.096,0.096
babukwasababu,39,0.077,1.15,0.128,0.103
sisindiosifuna,601,0.05,1.15,0.063,0.135
kenyakwanzatransnzoia,44,0.068,0.93,0.136,0.023
savings,49,0.061,0.73,0.082,0.02
finance,142,0.049,0.52,0.063,0.063
lettertokangata,36,0.056,0.45,0.083,0.056
sifunaout,39,0.051,0.34,0.154,0.077
wanaharakatinimagaidi,45,0.044,0.13,0.089,0.0
samekosaba,47,0.043,0.07,0.128,0.128
olkaloudecides,173,0.04,-0.01,0.046,0.017
tutam,86,0.035,-0.27,0.07,0.081
tax,66,0.03,-0.42,0.045,0.0
lindamwananchi,96,0.031,-0.47,0.094,0.125
whyolkaloufell,42,0.024,-0.55,0.095,0.0
fufuaicc,42,0.024,-0.55,0.095,0.143
malasaña,43,0.023,-0.58,0.14,0.07
olkaloubyelection,47,0.021,-0.67,0.085,0.021
rdc,51,0.02,-0.76,0.078,0.137
nyotaphase2,56,0.018,-0.86,0.089,0.036
wantam,288,0.028,-1.1,0.052,0.069
dcplosingparty,36,0.0,-1.23,0.111,0.0
gokthisweek,47,0.0,-1.41,0.085,0.021
sabart,129,0.016,-1.45,0.062,0.109
88tunatoka,129,0.016,-1.45,0.07,0.132
jklive,175,0.017,-1.57,0.046,0.074
rutomustgo,429,0.014,-2.79,0.07,0.086
