seed_handle,seeds,echo_authors,seed_followers,echoed_components,in_coord_cluster
citizentvkenya,27,110,6853796,33,False
NationAfrica,18,85,4265144,30,False
StandardKenya,16,54,2732827,41,False
Kenyans,13,59,2736581,19,False
ntvkenya,12,52,5352499,38,False
K24Tv,11,33,3217136,6,False
KTNNewsKE,7,29,879240,52,False
omwambaKE,7,32,1319220,13,False
Nairobi_Leo,7,24,7540,10,False
KenyanSays,6,24,209881,0,False
TheStarKenya,4,16,2416897,7,False
PeopleDailyKe,4,15,241444,3,False
Chipukizii,4,24,5481,2,False
Lightcasttvke,3,15,8323,8,False
KBCChannel1,3,12,937904,7,False
KahawaTungu,3,10,85749,7,False
NairobiNews254,3,11,945,4,False
CaptainKipkorir,3,12,15806,3,False
_zack255,3,17,94504,2,False
newto_code_14,3,10,15986,2,False
_KithureKindiki,3,12,99052,1,False
rigathi,3,9,1089234,1,False
Obuchunju,3,9,15980,0,False
kipmurkomen,3,10,2943021,0,False
RadioGenKe,2,25,6106,9,False
Isaac_Otwoma,2,6,47862,6,False
UzalendoNews_KE,2,6,8018,5,False
kiambu_magazine,2,7,20335,4,False
tv47digital,2,6,4173,4,False
PropesaTv,2,6,167649,3,False
WilliamsMkenya,2,12,623609,3,False
moneyacademyKE,2,13,480320,3,False
DrJuma_M,2,7,19675,2,False
GunnerAfrican,2,6,5580,2,False
Her_agape,2,16,23818,2,False
johnmark254,2,6,5305,2,True
HildaNewton21,2,6,955260,1,False
abbiezuena,2,6,10857,1,False
thekenyatimes,2,6,34378,1,False
reddyMoney54,2,6,8239,0,False
HourlyNewsWave,1,3,223,8,False
JosephMasta2,1,3,1687,6,True
Sheryllisa52263,1,3,6579,6,False
senator047,1,4,6776,6,True
Goddie_Ke,1,3,769502,5,False
Kiumbu01_,1,3,18189,5,False
NyakundiReport,1,3,31036,5,False
kenyancryptos,1,3,1030,5,False
pakameoww,1,3,10418,5,True
CaptainDominicO,1,3,96822,4,True
JaphethOtieno01,1,3,15953,4,False
Mneyla1,1,4,1984,4,False
_DCPTV,1,8,19082,4,False
hivileo1,1,5,6243,4,True
ngicho_dickens,1,4,2583,4,True
Blury_xl,1,4,20723,3,False
BravinYuri,1,4,385441,3,False
CynthOmolo,1,11,2501,3,True
Dennis_Itumbi02,1,6,52841,3,True
Isabela_KE,1,4,8697,3,False
MariaSTsehai,1,3,1373055,3,False
PeterKariukiKE,1,4,44638,3,False
Tweets_by_jnr,1,20,18321,3,False
cbs_ke,1,8,168022,3,False
futureishumans,1,4,242,3,True
lawrencekitema,1,3,333974,3,False
muturikiamaini,1,5,15,3,True
pascal_masinde,1,3,271,3,True
AmoPsychic,1,8,10111,2,False
AtticRealtors,1,9,45,2,False
Fran66062Frank,1,8,140,2,True
Gitz__,1,5,57406,2,False
KamemeTvKenya,1,3,49195,2,False
KenyanDispatch,1,24,134,2,False
KinyoiKe,1,4,1359,2,False
Mwamba_hi,1,3,8607,2,False
TruthPatrol254,1,5,15325,2,False
Tweets_by_maia,1,28,13907,2,True
Tweetsbyblair,1,3,8922,2,True
UDAKenya,1,5,359024,2,False
alfredmwitike2,1,3,95286,2,False
litundunya,1,5,5606,2,False
