author_handle,n,mean_rank_pct,median_lag_min,targets,z_vs_uniform,in_coord_cluster
senator047,21,0.18017704436023307,3.25,11,-5.077032025154796,True
comogolla,13,0.14663316409006064,5.8,5,-4.413550365915893,True
Victor35167777,14,0.17610030053559986,3.783333333333333,11,-4.198219929042025,True
Mzee_Mzae,22,0.3097788286025582,33.70833333333333,15,-3.090728203615314,True
denismuthee99,10,0.2569444444444445,10.65,3,-2.662540210094557,True
Ndunguzg,11,0.2726246421433587,61.46666666666667,10,-2.612343974972957,True
Yussih_,12,0.2998859358234358,27.96666666666667,10,-2.4013687701187703,True
JohnmarkMarco2,29,0.37792333980721404,18.75,13,-2.277310566306466,True
CCarusheey,11,0.312803378564707,64.58333333333333,10,-2.150725438110608,True
OnyiegoZak,11,0.3365959055798628,112.31666666666666,9,-1.8773701141945864,True
kingethuk,17,0.37207864915952094,93.91666666666667,14,-1.8270823430196022,True
tarchu316,13,0.3541928095535579,60.78333333333333,5,-1.8211312249802498,True
CynthOmolo,17,0.3742702824618059,59.05,15,-1.7957795582798441,True
gikundamarangu,10,0.34231138491690294,50.83333333333333,8,-1.7273922308552327,True
Its_kipchumba,13,0.38087905552234536,40.266666666666666,9,-1.48782011966056,True
Kaikainaipaa,10,0.36420482068659815,51.925,6,-1.4875616582081819,True
ElijahKipteng,10,0.367871697268249,122.025,8,-1.44739303782103,True
martolishez,56,0.4468432299662261,50.08333333333333,14,-1.3779809718151432,True
tutor_shadrach,13,0.3966331548107249,81.9,10,-1.29105148261556,True
annenyanyua,10,0.41994002752593784,87.05833333333334,7,-0.8770130575457306,True
aggrey2015,10,0.4232882188054602,92.775,9,-0.8403354597330011,True
MartinMKivuva,11,0.43034203389934617,57.4,11,-0.8003091001912565,True
jumachewa,10,0.43507478632478636,50.96666666666667,7,-0.7112200816151482,False
omekejoshu,13,0.44357586857586856,39.416666666666664,7,-0.704737175610138,True
SimbaGuliye,10,0.43607376283846866,42.91666666666667,9,-0.7002768421959148,True
LillyJames20440,17,0.45650527524341566,85.8,13,-0.6212289277366357,False
Dannkasina,13,0.4579904445289061,111.33333333333333,12,-0.524699179661176,True
flomoqueruto,12,0.4757584064327485,114.63333333333334,5,-0.2908991228070177,True
KOX_Prosecuteur,13,0.4821095568892663,80.35,9,-0.22345156283398446,True
StarboyKE_,10,0.4804604074445565,181.10833333333335,8,-0.2140455121415286,True
EugeneOgolla1,11,0.4822305317023627,332.15,10,-0.204155647662898,True
GlitteringAnge,17,0.4913791111958494,61.05,13,-0.12313092077053536,True
futureishumans,11,0.4950741731498118,276.15,7,-0.056593441853810635,True
WANTAM_GEN_Z,18,0.5010602823102823,349.01666666666665,13,0.015582903860946013,False
NaikulNchoe,17,0.5033113515892154,69.55,14,0.04729556075224625,True
KiprutoBenedine,12,0.516991341991342,415.8833333333333,1,0.20389610389610402,True
SportlahK,11,0.5253754377140879,116.85,9,0.29154158326380336,False
CaptainDominicO,10,0.5468290239254965,458.8833333333333,8,0.512986254998871,True
kahuro_sam,33,0.5274650901777479,114.26666666666667,19,0.5465483937171917,True
Mandereke2027,15,0.5422507122507123,213.13333333333333,11,0.5668527881422551,True
Babalucky254,12,0.5508868446368446,108.25833333333334,9,0.6106421356421348,True
wuontana,10,0.5568725329212144,344.175,9,0.6230073836680864,True
kenwanjala89,10,0.5596542827657378,188.90833333333333,8,0.6534799264517254,True
Afrison04864111,10,0.5633333333333332,373.7583333333333,7,0.6937819061732095,False
ForensicsKuria,11,0.5634209675796986,139.9,9,0.7286514427312719,True
JosephMasta2,10,0.5672249004222438,101.93333333333334,8,0.7364118877460303,True
WaLoganville,11,0.5791125541125541,155.18333333333334,10,0.9089340464543939,True
JoshuaNdeg91985,22,0.5599285304592397,181.44166666666666,9,0.9737233659685192,True
Prof1one,16,0.572211214031067,301.4,13,1.000587932624309,True
BenjiNdolo,11,0.6069625696111105,310.95,9,1.228906363931418,True
Maskani254,10,0.6152173913043478,1351.5166666666667,1,1.2621432846858176,False
Pettikim,10,0.6226584606677985,310.51666666666665,7,1.3436561155322686,True
BeingCharlie,10,0.6283109318996416,151.15833333333333,8,1.4055758355188581,False
