target_handle,n_replies,n_repliers,low_follower_share,neg_share,target_followers
Kenyans,727,599,0.2792297111416781,0.6368638239339752,2736581
WilliamsRuto,472,345,0.24364406779661016,0.4140127388535032,6945317
_KithureKindiki,434,376,0.2304147465437788,0.48847926267281105,99052
citizentvkenya,384,308,0.34375,0.6380208333333334,6853796
Maryian96,365,309,0.25753424657534246,0.4904109589041096,32081
FabrizioRomano,323,303,0.0804953560371517,0.43788819875776397,28315087
rigathi,299,241,0.26755852842809363,0.5719063545150501,1089234
Saba98659512150,279,2,1.0,0.4946236559139785,27
Kibet_bull,265,236,0.16226415094339622,0.5492424242424242,161162
Adele_lide,249,221,0.3253012048192771,0.6024096385542169,34708
ntvkenya,225,192,0.24888888888888888,0.6488888888888888,5352499
KenyanSays,207,192,0.2222222222222222,0.6135265700483091,209881
georgediano,191,173,0.15706806282722513,0.6544502617801047,200127
gabrieloguda,190,170,0.3105263157894737,0.49473684210526314,1080378
HonMoses_Kuria,185,171,0.2972972972972973,0.6,611615
WhiteHouse,184,172,0.05434782608695652,0.65,4994375
kipmurkomen,181,170,0.35911602209944754,0.7734806629834254,2943021
edwinsifuna,170,160,0.3058823529411765,0.5705882352941176,1383636
Dennis_Itumbi02,170,150,0.4,0.5764705882352941,52841
paulinenjoroge,168,152,0.25595238095238093,0.4642857142857143,617984
omwambaKE,163,153,0.1165644171779141,0.50920245398773,1319220
abbiezuena,163,137,0.3374233128834356,0.3312883435582822,10857
makaumully,162,135,0.36419753086419754,0.5925925925925926,63948
pksalasya,158,137,0.310126582278481,0.6962025316455697,77551
moneyacademyKE,155,148,0.14193548387096774,0.5483870967741935,480320
Honcalebamisi,153,143,0.2222222222222222,0.6274509803921569,91083
NjiruAdv,150,146,0.4866666666666667,0.68,174026
BravinYuri,149,141,0.12751677852348994,0.5637583892617449,385441
DCI_Kenya,144,110,0.24305555555555555,0.5347222222222222,1980590
Naomikibandi,143,125,0.18181818181818182,0.6293706293706294,143175
thsottiaux,141,141,0.41843971631205673,0.2553191489361702,275365
RepOgles,141,141,0.10638297872340426,0.6595744680851063,124335
WHLeavitt,139,136,0.014388489208633094,0.41304347826086957,367723
JoeBiden,139,136,0.10071942446043165,0.460431654676259,37903986
Keir_Starmer,132,129,0.09090909090909091,0.7196969696969697,2581791
MarthaKarua,124,108,0.27419354838709675,0.6504065040650406,1762040
C_NyaKundiH,123,115,0.17886178861788618,0.7479674796747967,1106315
Maskani254,121,42,0.32231404958677684,0.3140495867768595,50352
England,116,113,0.1206896551724138,0.46551724137931033,6193559
ScottJenningsKY,116,114,0.11206896551724138,0.8189655172413793,966215
MoraraKebaso,115,101,0.2956521739130435,0.7304347826086957,293365
StandardKenya,113,101,0.11504424778761062,0.6194690265486725,2732827
RepSusieLee,108,108,0.18518518518518517,0.8240740740740741,37700
_KemuntoM,100,81,0.29,0.63,2001
Gitz__,100,91,0.05,0.41,57406
DjedSpence,99,99,0.15151515151515152,0.25510204081632654,95021
MigunaMiguna,98,85,0.32653061224489793,0.5102040816326531,3189854
BoboWamboiKuria,95,80,0.29473684210526313,0.6526315789473685,54312
DanKornas,95,1,0.0,0.0,93391
ouma_neko,89,74,0.3595505617977528,0.651685393258427,46326
IEBCKenya,86,65,0.313953488372093,0.5465116279069767,1046156
RachelReevesMP,85,85,0.12941176470588237,0.7307692307692307,257120
Sheryllisa52263,84,75,0.15476190476190477,0.36904761904761907,6579
itskipronoh,82,80,0.2926829268292683,0.6829268292682927,224584
RodgersKipembe,81,74,0.2345679012345679,0.5802469135802469,439736
RoKhanna,79,75,0.08860759493670886,0.7468354430379747,475228
MusaliaMudavadi,78,52,0.19230769230769232,0.1282051282051282,1402089
JimiWanjigi,78,73,0.2948717948717949,0.7051282051282052,207599
cbs_ke,78,22,0.038461538461538464,0.3717948717948718,168022
JaphethOtieno01,77,71,0.2987012987012987,0.37662337662337664,15953
ahmednasirlaw,74,73,0.1891891891891892,0.6081081081081081,2708472
orengo_james,73,68,0.3287671232876712,0.4794520547945205,1676746
DrJuma_M,71,65,0.28169014084507044,0.5774647887323944,19675
gpdkaluma,71,66,0.5492957746478874,0.7887323943661971,288958
JimNjue_254,69,66,0.2608695652173913,0.4782608695652174,2108
SeeRacists,69,69,0.15942028985507245,0.9130434782608695,520843
therealantoh,68,66,0.35294117647058826,0.5588235294117647,13653
JimmyKings8,67,63,0.19402985074626866,0.44776119402985076,23689
AokoOtieno_,67,58,0.26865671641791045,0.6268656716417911,644429
kingethuk,66,53,0.25757575757575757,0.7727272727272727,36924
Disembe,64,58,0.21875,0.6875,375511
PolitlcsUK,62,60,0.3064516129032258,0.6612903225806451,480775
_fels1,62,62,0.25806451612903225,0.6612903225806451,349493
amenya_nelson,61,58,0.19672131147540983,0.6885245901639344,218771
Wambuib4sky,59,57,0.22033898305084745,0.576271186440678,4090
TheValueist,58,1,0.0,0.0,36551
Retweet_tablike,58,56,0.3275862068965517,0.3275862068965517,44467
Belive_Kinuthia,58,55,0.20689655172413793,0.5689655172413793,487921
skmusyoka,58,54,0.41379310344827586,0.5172413793103449,1696871
bakhita_esther,57,52,0.2807017543859649,0.45614035087719296,14649
onjolo_kenya,56,53,0.125,0.35714285714285715,116111
Dr_AustinOmondi,56,53,0.14285714285714285,0.625,100436
ArapTilingi,56,56,0.14285714285714285,0.625,63989
ShashiTharoor,56,51,0.44642857142857145,0.625,8048752
jimNjue_,55,54,0.36363636363636365,0.6666666666666666,78401
alfredarapketer,55,51,0.2545454545454545,0.32727272727272727,162952
Broadbasedgal,54,47,0.2962962962962963,0.5555555555555556,8459
ConradKulo,53,40,0.07547169811320754,0.5849056603773585,39077
WehliyeMohamed,53,52,0.1509433962264151,0.6415094339622641,1113885
AlionyaRoseline,53,53,0.20754716981132076,0.33962264150943394,7213
HonAdenDuale,52,51,0.3269230769230769,0.6730769230769231,1125682
Lightcasttvke,52,50,0.3269230769230769,0.6730769230769231,8323
Asamoh_,51,48,0.23529411764705882,0.6274509803921569,76849
jmuragengunjiri,49,42,0.2653061224489796,0.4897959183673469,5171
MkenyaMzi,48,48,0.20833333333333334,0.5,77712
wil_sonn1,48,43,0.10416666666666667,0.22916666666666666,4397
OkiyaOmtatah,48,46,0.25,0.5833333333333334,417429
Son_of_Laikipia,47,45,0.0425531914893617,0.5531914893617021,93244
CaptainDominicO,47,46,0.23404255319148937,0.3404255319148936,96822
OleItumbi,45,41,0.2,0.6,2435945
open__mouth,45,24,0.0,0.0,2641
Kimuzi_,45,42,0.17777777777777778,0.6,479837
Osama_otero,44,42,0.045454545454545456,0.4772727272727273,622518
