threshold,flagged,precision,recall
0.5,457,0.3610503282275711,0.5188679245283019
0.55,436,0.3761467889908257,0.5157232704402516
0.6,412,0.3883495145631068,0.5031446540880503
0.65,390,0.39487179487179486,0.48427672955974843
0.7,366,0.40710382513661203,0.46855345911949686
0.75,341,0.4222873900293255,0.4528301886792453
0.8,317,0.4384858044164038,0.4371069182389937
0.85,292,0.4554794520547945,0.41823899371069184
0.9,259,0.4517374517374517,0.36792452830188677
0.95,197,0.5228426395939086,0.3238993710691824
