width,floor,arm,windows,accounts,shown_before,kept,retained,gained,accounts_shown_before,accounts_shown_after
day,2,treated,59,390,77,65,0.844,1293,61,354
day,2,holdout,59,97,24,24,1.0,0,19,19
day,3,treated,59,390,6,5,0.833,2458,6,366
day,3,holdout,59,97,2,2,1.0,0,2,2
day,5,treated,59,390,0,0,,2557,0,365
day,5,holdout,59,97,0,0,,0,0,0
day,10,treated,59,390,0,0,,1644,0,353
day,10,holdout,59,97,0,0,,0,0,0
day,20,treated,59,390,0,0,,694,0,278
day,20,holdout,59,97,0,0,,0,0,0
week,2,treated,8,390,144,101,0.701,159,108,173
week,2,holdout,8,97,52,52,1.0,0,34,34
week,3,treated,8,390,40,33,0.825,373,38,184
week,3,holdout,8,97,9,9,1.0,0,9,9
week,5,treated,8,390,1,1,1.0,782,1,305
week,5,holdout,8,97,0,0,,0,0,0
week,10,treated,8,390,0,0,,891,0,359
week,10,holdout,8,97,0,0,,0,0,0
week,20,treated,8,390,0,0,,775,0,361
week,20,holdout,8,97,0,0,,0,0,0
