width,floor,arm,shape,seed,windows_scored,accounts_distinct,account_windows,accounts_median,communities,communities_median,shown_account_windows,largest_community,windows,seconds,rss_mb,wall_s,day,window,present,recall,precision,fragments,community_rank,communities_in_window,burn_in
day,20,real,,0,57.0,1164.0,2669.0,45.0,173.0,4.0,2157.0,79.0,59,4.4,457,6.1,,,,,,,,,
day,20,plant,light,0,,,,,,,,,1,6.1,415,7.1,2026-07-29,2026-07-29,0.0,0.0,0.0,0.0,,0.0,
day,20,plant,light,1,,,,,,,,,1,6.4,367,7.2,2026-09-08,2026-09-08,0.0,0.0,0.0,0.0,,4.0,
day,20,plant,light,2,,,,,,,,,1,6.1,420,7.2,2026-08-21,2026-08-21,0.0,0.0,0.0,0.0,,0.0,
day,20,plant,heavy,0,,,,,,,,,1,6.3,391,7.2,2026-07-29,2026-07-29,0.0,0.0,0.0,0.0,,0.0,
day,20,plant,heavy,1,,,,,,,,,1,6.2,407,7.2,2026-09-08,2026-09-08,0.1,0.1,1.0,1.0,,4.0,
day,20,plant,heavy,2,,,,,,,,,1,6.1,419,7.2,2026-08-21,2026-08-21,0.0,0.0,0.0,0.0,,0.0,
day,10,real,,0,59.0,2066.0,5261.0,90.0,286.0,6.0,4406.0,91.0,59,4.5,380,6.1,,,,,,,,,
day,10,plant,light,0,,,,,,,,,1,6.0,427,7.2,2026-07-29,2026-07-29,0.0,0.0,0.0,0.0,,0.0,
day,10,plant,light,1,,,,,,,,,1,6.0,420,7.2,2026-09-08,2026-09-08,0.0,0.0,0.0,0.0,,8.0,
day,10,plant,light,2,,,,,,,,,1,5.9,383,7.2,2026-08-21,2026-08-21,0.16666666666666666,0.16666666666666666,1.0,1.0,,0.0,
day,10,plant,heavy,0,,,,,,,,,1,6.0,399,7.2,2026-07-29,2026-07-29,0.95,0.35,1.0,3.0,1.0,3.0,
day,10,plant,heavy,1,,,,,,,,,1,6.0,424,7.1,2026-09-08,2026-09-08,1.0,1.0,1.0,1.0,1.0,5.0,
day,10,plant,heavy,2,,,,,,,,,1,6.0,420,7.2,2026-08-21,2026-08-21,0.8,0.3,1.0,3.0,1.0,3.0,
day,5,real,,0,59.0,3110.0,9067.0,151.0,432.0,7.0,7841.0,102.0,59,4.7,433,6.1,,,,,,,,,
day,5,plant,light,0,,,,,,,,,1,6.1,419,7.1,2026-07-29,2026-07-29,0.75,0.75,1.0,1.0,1.0,1.0,
day,5,plant,light,1,,,,,,,,,1,6.1,417,7.2,2026-09-08,2026-09-08,0.9166666666666666,0.9166666666666666,1.0,1.0,2.0,9.0,
day,5,plant,light,2,,,,,,,,,1,6.3,412,7.2,2026-08-21,2026-08-21,0.8333333333333334,0.8333333333333334,1.0,1.0,1.0,2.0,
day,5,plant,heavy,0,,,,,,,,,1,6.4,338,7.2,2026-07-29,2026-07-29,1.0,0.4,1.0,3.0,1.0,3.0,
day,5,plant,heavy,1,,,,,,,,,1,6.0,403,7.1,2026-09-08,2026-09-08,1.0,1.0,1.0,1.0,1.0,7.0,
day,5,plant,heavy,2,,,,,,,,,1,5.9,446,7.2,2026-08-21,2026-08-21,1.0,0.5,1.0,2.0,2.0,3.0,
day,3,real,,0,59.0,4456.0,13233.0,206.0,561.0,9.0,11657.0,189.0,59,5.2,448,6.1,,,,,,,,,
day,3,plant,light,0,,,,,,,,,1,6.0,424,7.2,2026-07-29,2026-07-29,1.0,1.0,1.0,1.0,1.0,1.0,
day,3,plant,light,1,,,,,,,,,1,5.9,444,7.2,2026-09-08,2026-09-08,1.0,1.0,1.0,1.0,4.0,10.0,
day,3,plant,light,2,,,,,,,,,1,5.8,469,7.2,2026-08-21,2026-08-21,1.0,1.0,1.0,1.0,1.0,6.0,
day,3,plant,heavy,0,,,,,,,,,1,5.8,443,7.1,2026-07-29,2026-07-29,1.0,1.0,1.0,1.0,1.0,1.0,
day,3,plant,heavy,1,,,,,,,,,1,5.8,468,7.2,2026-09-08,2026-09-08,1.0,1.0,1.0,1.0,1.0,11.0,
